player_id,name,nationality,position,market_value_in_eur
937958,Lamine Yamal,Spain,Attack,200000000.0
418560,Erling Haaland,Norway,Attack,200000000.0
342229,Kylian Mbappé,France,Attack,200000000.0
371998,Vinicius Junior,Brazil,Attack,150000000.0
683840,Pedri,Spain,Midfield,150000000.0
581678,Jude Bellingham,England,Midfield,140000000.0
566723,Michael Olise,France,Attack,140000000.0
369081,Federico Valverde,Uruguay,Midfield,120000000.0
580195,Jamal Musiala,Germany,Midfield,120000000.0
357662,Declan Rice,England,Midfield,120000000.0
433177,Bukayo Saka,England,Attack,120000000.0
598577,Florian Wirtz,Germany,Midfield,110000000.0
487469,Vitinha,Portugal,Midfield,110000000.0
670681,João Neves,Portugal,Midfield,110000000.0
568177,Cole Palmer,England,Midfield,110000000.0
687626,Moisés Caicedo,Ecuador,Midfield,110000000.0
451276,Dominik Szoboszlai,Hungary,Midfield,100000000.0
288230,Ousmane Dembélé,France,Attack,100000000.0
349066,Alexander Isak,Sweden,Attack,100000000.0
636703,Fermín López,Spain,Midfield,100000000.0
502670,Khvicha Kvaratskhelia,Georgia,Attack,90000000.0
861410,Arda Güler,Türkiye,Midfield,90000000.0
495666,William Saliba,France,Defender,90000000.0
914562,Désiré Doué,France,Attack,90000000.0
576024,Julián Alvarez,Argentina,Attack,90000000.0
648195,Enzo Fernández,Argentina,Midfield,90000000.0
478573,Ryan Gravenberch,Netherlands,Midfield,90000000.0
709726,Hugo Ekitiké,France,Attack,90000000.0
406625,Lautaro Martínez,Argentina,Attack,85000000.0
1056993,Estêvão,Brazil,Attack,80000000.0
962110,Pau Cubarsí,Spain,Defender,80000000.0
406635,Phil Foden,England,Midfield,80000000.0
503743,Morgan Rogers,England,Midfield,80000000.0
423440,Martín Zubimendi,Spain,Midfield,80000000.0
534033,Alexis Mac Allister,Argentina,Midfield,80000000.0
411295,Raphinha,Brazil,Attack,80000000.0
398073,Achraf Hakimi,Morocco,Defender,80000000.0
397033,Sandro Tonali,Italy,Midfield,80000000.0
413039,Bryan Mbeumo,Cameroon,Attack,80000000.0
435338,Gabriel,Brazil,Defender,75000000.0
845654,Kenan Yıldız,Türkiye,Attack,75000000.0
413112,Aurélien Tchouaméni,France,Midfield,75000000.0
583255,Antoine Semenyo,Ghana,Attack,75000000.0
520624,Bruno Guimarães,Brazil,Midfield,75000000.0
792380,Aleksandar Pavlovic,Germany,Midfield,75000000.0
401923,Victor Osimhen,Nigeria,Attack,75000000.0
616341,Nuno Mendes,Portugal,Defender,75000000.0
1390649,Yan Diomande,Cote d'Ivoire,Attack,75000000.0
626724,João Pedro,Brazil,Attack,75000000.0
344695,Dayot Upamecano,France,Defender,70000000.0
480692,Luis Díaz,Colombia,Attack,70000000.0
475959,Josko Gvardiol,Croatia,Defender,70000000.0
708265,Bradley Barcola,France,Attack,70000000.0
315853,Alessandro Bastoni,Italy,Defender,70000000.0
420243,Jurriën Timber,Netherlands,Defender,70000000.0
517894,Matheus Cunha,Brazil,Attack,70000000.0
661171,Willian Pacho,Ecuador,Defender,70000000.0
411975,Jules Koundé,France,Defender,65000000.0
607223,Rayan Cherki,France,Midfield,65000000.0
314353,Trent Alexander-Arnold,England,Defender,65000000.0
455661,Nick Woltemade,Germany,Attack,65000000.0
325443,Viktor Gyökeres,Sweden,Attack,65000000.0
890290,Dean Huijsen,Spain,Defender,65000000.0
316264,Martin Ødegaard,Norway,Midfield,65000000.0
392757,Marc Guéhi,England,Defender,65000000.0
948294,Nico Paz,Argentina,Midfield,65000000.0
486049,Jérémy Doku,Belgium,Attack,65000000.0
627442,Benjamin Sesko,Slovenia,Attack,65000000.0
132098,Harry Kane,England,Attack,65000000.0
434675,Cody Gakpo,Netherlands,Attack,65000000.0
357565,Rodri,Spain,Midfield,65000000.0
557459,Micky van de Ven,Netherlands,Defender,65000000.0
357164,Rafael Leão,Portugal,Attack,65000000.0
775605,Pablo Barrios,Spain,Midfield,60000000.0
460939,Tijjani Reijnders,Netherlands,Midfield,60000000.0
811778,Álvaro Carreras,Spain,Defender,60000000.0
810092,Warren Zaïre-Emery,France,Midfield,60000000.0
258004,Rúben Dias,Portugal,Defender,60000000.0
472423,Reece James,England,Defender,60000000.0
744149,Adam Wharton,England,Midfield,60000000.0
293385,Dani Olmo,Spain,Midfield,60000000.0
487465,Pedro Neto,Portugal,Attack,60000000.0
567576,Elliot Anderson,England,Midfield,60000000.0
479999,Eberechi Eze,England,Midfield,60000000.0
892160,Luka Vuskovic,Croatia,Defender,60000000.0
429014,Morgan Gibbs-White,England,Midfield,60000000.0
445939,Omar Marmoush,Egypt,Attack,60000000.0
503733,Anthony Gordon,England,Attack,60000000.0
1075147,Lennart Karl,Germany,Midfield,60000000.0
543499,Mohammed Kudus,Ghana,Attack,55000000.0
636688,Alejandro Balde,Spain,Defender,55000000.0
1004301,Jérémy Jacquet,France,Defender,55000000.0
388198,Nico Schlotterbeck,Germany,Defender,55000000.0
973085,Carlos Baleba,Cameroon,Midfield,55000000.0
532826,Mason Greenwood,England,Attack,55000000.0
624690,Manu Koné,France,Midfield,50000000.0
614258,Levi Colwill,England,Defender,50000000.0
610442,Rasmus Højlund,Denmark,Attack,50000000.0
412363,Rodrygo,Brazil,Attack,50000000.0
745200,Maghnes Akliouche,France,Attack,50000000.0
